"UF";"COD_MUN";"NOME_MUN";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"PB";250630;"Guarabira";494;373;132;"SIM";132;"ALCANÇOU"
"PB";250640;"Gurinhém";95;80;119;"SIM";119;"ALCANÇOU"
"PB";250650;"Gurjão";25;17;147;"SIM";147;"ALCANÇOU"
"PB";250660;"Ibiara";46;44;105;"SIM";105;"ALCANÇOU"
"PB";250670;"Imaculada";71;61;116;"SIM";116;"ALCANÇOU"
"PB";250680;"Ingá";168;131;128;"SIM";128;"ALCANÇOU"
"PB";250690;"Itabaiana";229;228;100;"SIM";100;"ALCANÇOU"
"PB";250700;"Itaporanga";157;164;96;"SIM";96;"ALCANÇOU"
"PB";250710;"Itapororoca";101;137;74;"NÃO";74;"NÃO ALCANÇOU"
"PB";250720;"Itatuba";71;47;151;"SIM";151;"ALCANÇOU"
"PB";250730;"Jacaraú";87;111;78;"NÃO";78;"NÃO ALCANÇOU"
"PB";250740;"Jericó";45;56;80;"NÃO";80;"NÃO ALCANÇOU"
"PB";250750;"João Pessoa";5792;5294;109;"SIM";109;"ALCANÇOU"
"PB";250760;"Juarez Távora";69;46;150;"SIM";150;"ALCANÇOU"
"PB";250770;"Juazeirinho";101;84;120;"SIM";120;"ALCANÇOU"
"PB";250780;"Junco do Seridó";49;35;140;"SIM";140;"ALCANÇOU"
"PB";250790;"Juripiranga";87;87;100;"SIM";100;"ALCANÇOU"
"PB";250800;"Juru";68;53;128;"SIM";128;"ALCANÇOU"
"PB";250810;"Lagoa";32;24;133;"SIM";133;"ALCANÇOU"
"PB";250820;"Lagoa de Dentro";77;55;140;"SIM";140;"ALCANÇOU"
"PB";250830;"Lagoa Seca";183;155;118;"SIM";118;"ALCANÇOU"
"PB";250840;"Lastro";25;13;192;"SIM";192;"ALCANÇOU"
"PB";250850;"Livramento";77;39;197;"SIM";197;"ALCANÇOU"
"PB";250855;"Logradouro";35;14;250;"SIM";250;"ALCANÇOU"
"PB";250860;"Lucena";78;81;96;"SIM";96;"ALCANÇOU"
"PB";250870;"Mãe d'Água";33;13;254;"SIM";254;"ALCANÇOU"
"PB";250880;"Malta";50;43;116;"SIM";116;"ALCANÇOU"
"PB";250890;"Mamanguape";305;308;99;"SIM";99;"ALCANÇOU"
"PB";250900;"Manaíra";69;70;99;"SIM";99;"ALCANÇOU"
"PB";250905;"Marcação";33;49;67;"NÃO";67;"NÃO ALCANÇOU"
"PB";250910;"Mari";136;140;97;"SIM";97;"ALCANÇOU"
"PB";250915;"Marizópolis";48;42;114;"SIM";114;"ALCANÇOU"
"PB";250920;"Massaranduba";87;79;110;"SIM";110;"ALCANÇOU"
"PB";250930;"Mataraca";42;42;100;"SIM";100;"ALCANÇOU"
"PB";250933;"Matinhas";23;12;192;"SIM";192;"ALCANÇOU"
"PB";250937;"Mato Grosso";17;12;142;"SIM";142;"ALCANÇOU"
"PB";250939;"Maturéia";48;37;130;"SIM";130;"ALCANÇOU"
"PB";250940;"Mogeiro";69;64;108;"SIM";108;"ALCANÇOU"
"PB";250950;"Montadas";34;43;79;"NÃO";79;"NÃO ALCANÇOU"
"PB";250960;"Monte Horebe";38;30;127;"SIM";127;"ALCANÇOU"
"PB";250970;"Monteiro";267;302;88;"NÃO";88;"NÃO ALCANÇOU"
"PB";250980;"Mulungu";68;76;89;"NÃO";89;"NÃO ALCANÇOU"
"PB";250990;"Natuba";56;44;127;"SIM";127;"ALCANÇOU"
"PB";251000;"Nazarezinho";56;55;102;"SIM";102;"ALCANÇOU"
"PB";251010;"Nova Floresta";94;75;125;"SIM";125;"ALCANÇOU"
"PB";251020;"Nova Olinda";33;33;100;"SIM";100;"ALCANÇOU"
"PB";251030;"Nova Palmeira";33;25;132;"SIM";132;"ALCANÇOU"
"PB";251040;"Olho d'Água";47;41;115;"SIM";115;"ALCANÇOU"
"PB";251050;"Olivedos";23;18;128;"SIM";128;"ALCANÇOU"
"PB";251060;"Ouro Velho";28;26;108;"SIM";108;"ALCANÇOU"
"PB";251065;"Parari";13;17;76;"NÃO";76;"NÃO ALCANÇOU"
"PB";251070;"Passagem";17;6;283;"SIM";283;"ALCANÇOU"
"PB";251080;"Patos";758;608;125;"SIM";125;"ALCANÇOU"
"PB";251090;"Paulista";71;89;80;"NÃO";80;"NÃO ALCANÇOU"
"PB";251100;"Pedra Branca";25;33;76;"NÃO";76;"NÃO ALCANÇOU"
"PB";251110;"Pedra Lavrada";51;58;88;"NÃO";88;"NÃO ALCANÇOU"
"PB";251120;"Pedras de Fogo";278;200;139;"SIM";139;"ALCANÇOU"
"PB";251130;"Piancó";149;109;137;"SIM";137;"ALCANÇOU"
"PB";251140;"Picuí";126;133;95;"SIM";95;"ALCANÇOU"
"PB";251150;"Pilar";99;63;157;"SIM";157;"ALCANÇOU"
"PB";251160;"Pilões";60;45;133;"SIM";133;"ALCANÇOU"
"PB";251170;"Pilõezinhos";32;21;152;"SIM";152;"ALCANÇOU"
"PB";251180;"Pirpirituba";83;53;157;"SIM";157;"ALCANÇOU"
"PB";251190;"Pitimbu";97;76;128;"SIM";128;"ALCANÇOU"
"PB";251200;"Pocinhos";112;111;101;"SIM";101;"ALCANÇOU"
"PB";251203;"Poço Dantas";30;23;130;"SIM";130;"ALCANÇOU"
"PB";251207;"Poço de José de Moura";25;25;100;"SIM";100;"ALCANÇOU"
"PB";251210;"Pombal";262;267;98;"SIM";98;"ALCANÇOU"
"PB";251220;"Prata";27;26;104;"SIM";104;"ALCANÇOU"
"PB";251230;"Princesa Isabel";146;130;112;"SIM";112;"ALCANÇOU"
"PB";251240;"Puxinanã";94;53;177;"SIM";177;"ALCANÇOU"
"PB";251250;"Queimadas";325;294;111;"SIM";111;"ALCANÇOU"
