"UF";"IBGE";"Município";"Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"MG";315360;"Prudente de Morais";;0;1;0;0;"NÃO ALCANÇOU"
"MG";315370;"Quartel Geral";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315380;"Queluzito";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315390;"Raposos";;0;1;0;0;"NÃO ALCANÇOU"
"MG";315400;"Raul Soares";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315410;"Recreio";;0;1;0;0;"NÃO ALCANÇOU"
"MG";315415;"Reduto";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315420;"Resende Costa";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315430;"Resplendor";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315440;"Ressaquinha";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315445;"Riachinho";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315450;"Riacho dos Machados";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315460;"Ribeirão das Neves";;7;7;100;100;"ALCANÇOU"
"MG";315470;"Ribeirão Vermelho";;0;1;0;0;"NÃO ALCANÇOU"
"MG";315480;"Rio Acima";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315490;"Rio Casca";;1;2;50;50;"NÃO ALCANÇOU"
"MG";315500;"Rio Doce";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315510;"Rio do Prado";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315520;"Rio Espera";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315530;"Rio Manso";;1;1;100;100;"ALCANÇOU"
"MG";315540;"Rio Novo";;1;4;25;25;"NÃO ALCANÇOU"
"MG";315550;"Rio Paranaíba";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315560;"Rio Pardo de Minas";;0;1;0;0;"NÃO ALCANÇOU"
"MG";315570;"Rio Piracicaba";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315580;"Rio Pomba";;0;1;0;0;"NÃO ALCANÇOU"
"MG";315590;"Rio Preto";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315600;"Rio Vermelho";"X";0;0;;;"NÃO ALCANÇOU"
"MG";315610;"Ritápolis";"X";0;0;;;"NÃO ALCANÇOU"
