"UF";"COD_MUN";"NOME_MUN";"Ausencia_de_Casos";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"AM";130406;"Tabatinga";;135;135;100;100;"ALCANÇOU"
"AM";130410;"Tapauá";;18;18;100;100;"ALCANÇOU"
"AM";130420;"Tefé";;487;487;100;100;"ALCANÇOU"
"AM";130423;"Tonantins";;150;150;100;100;"ALCANÇOU"
"AM";130426;"Uarini";;16;16;100;100;"ALCANÇOU"
"AM";130430;"Urucará";;49;49;100;100;"ALCANÇOU"
"AM";130440;"Urucurituba";;12;12;100;100;"ALCANÇOU"
"RR";140002;"Amajari";;28;28;100;100;"ALCANÇOU"
"RR";140005;"Alto Alegre";;52;52;100;100;"ALCANÇOU"
"RR";140010;"Boa Vista";;2262;2263;99,9558108705259;100;"ALCANÇOU"
"RR";140015;"Bonfim";;29;31;93,5483870967742;93,5;"NÃO ALCANÇOU"
"RR";140017;"Cantá";;20;21;95,2380952380952;95,2;"ALCANÇOU"
"RR";140020;"Caracaraí";;111;114;97,3684210526316;97,4;"ALCANÇOU"
"RR";140023;"Caroebe";;15;16;93,75;93,8;"NÃO ALCANÇOU"
"RR";140028;"Iracema";;19;20;95;95;"ALCANÇOU"
"RR";140030;"Mucajaí";;73;73;100;100;"ALCANÇOU"
"RR";140040;"Normandia";;76;76;100;100;"ALCANÇOU"
"RR";140045;"Pacaraima";;82;82;100;100;"ALCANÇOU"
"RR";140047;"Rorainópolis";;135;135;100;100;"ALCANÇOU"
"RR";140050;"São João da Baliza";;59;59;100;100;"ALCANÇOU"
