"UF";"COD_MUN";"NOME_MUN";"*Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"TO";170950;"Gurupi";;6;9;66,6666666666667;"NÃO";66,7;"NÃO ALCANÇOU"
"TO";170980;"Ipueiras";;1;1;100;"SIM";100;"ALCANÇOU"
"TO";171050;"Itacajá";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171070;"Itaguatins";;8;8;100;"SIM";100;"ALCANÇOU"
"TO";171090;"Itapiratins";;3;3;100;"SIM";100;"ALCANÇOU"
"TO";171110;"Itaporã do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171150;"Jaú do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171180;"Juarina";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171190;"Lagoa da Confusão";;4;9;44,4444444444444;"NÃO";44,4;"NÃO ALCANÇOU"
"TO";171195;"Lagoa do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171200;"Lajeado";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171215;"Lavandeira";;2;2;100;"SIM";100;"ALCANÇOU"
"TO";171240;"Lizarda";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171245;"Luzinópolis";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171250;"Marianópolis do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171270;"Mateiros";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171280;"Maurilândia do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171320;"Miracema do Tocantins";;0;0;0;"NÃO";0;"NÃO ALCANÇOU"
"TO";171330;"Miranorte";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171360;"Monte do Carmo";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171370;"Monte Santo do Tocantins";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171380;"Palmeiras do Tocantins";;2;2;100;"SIM";100;"ALCANÇOU"
"TO";171395;"Muricilândia";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171420;"Natividade";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171430;"Nazaré";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171488;"Nova Olinda";;2;2;100;"SIM";100;"ALCANÇOU"
"TO";171500;"Nova Rosalândia";;3;3;100;"SIM";100;"ALCANÇOU"
"TO";171510;"Novo Acordo";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171515;"Novo Alegre";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171525;"Novo Jardim";;0;0;0;"NÃO";0;"NÃO ALCANÇOU"
"TO";171550;"Oliveira de Fátima";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171570;"Palmeirante";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171575;"Palmeirópolis";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171610;"Paraíso do Tocantins";;14;14;100;"SIM";100;"ALCANÇOU"
"TO";171620;"Paranã";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171630;"Pau D'Arco";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";171650;"Pedro Afonso";;7;10;70;"SIM";70;"ALCANÇOU"
"TO";171660;"Peixe";;2;2;100;"SIM";100;"ALCANÇOU"
"TO";171665;"Pequizeiro";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
