"UF";"COD_MUN";"NOME_MUN";"META_IND_1";"META_IND_2";"META_IND_3";"META_IND_4";"META_IND_5";"META_IND_6";"META_IND_12";"META_IND_14"
"AL";"270870";"São Miguel dos Milagres";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU"
"AL";"270880";"São Sebastião";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU"
"AL";"270900";"Tanque d'Arca";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU";
"AL";"270900";"Tanque dArca";;;;;;;;"NÃO ALCANÇOU"
"AL";"270910";"Taquarana";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU"
"AL";"270915";"Teotônio Vilela";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU"
"AL";"270920";"Traipu";"ALCANÇOU";"ALCANÇOU";;"ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
"AL";"270930";"União dos Palmares";"ALCANÇOU";"ALCANÇOU";;"ALCANÇOU";"ALCANÇOU";"ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU"
"AL";"270940";"Viçosa";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU";"NÃO ALCANÇOU"
"AL";"270010";"Água Branca";"ALCANÇOU";"ALCANÇOU";;"NÃO ALCANÇOU";"ALCANÇOU";"NÃO ALCANÇOU";"ALCANÇOU";"ALCANÇOU"
"AL";"270010";;;;"ALCANÇOU";;;;;
"AL";"270020";;;;"ALCANÇOU";;;;;
"AL";"270030";;;;"ALCANÇOU";;;;;
"AL";"270040";;;;"ALCANÇOU";;;;;
"AL";"270050";;;;"ALCANÇOU";;;;;
"AL";"270060";;;;"ALCANÇOU";;;;;
"AL";"270070";;;;"ALCANÇOU";;;;;
"AL";"270080";;;;"ALCANÇOU";;;;;
"AL";"270090";;;;"ALCANÇOU";;;;;
"AL";"270100";;;;"ALCANÇOU";;;;;
"AL";"270110";;;;"ALCANÇOU";;;;;
"AL";"270120";;;;"ALCANÇOU";;;;;
"AL";"270130";;;;"ALCANÇOU";;;;;
"AL";"270135";;;;"ALCANÇOU";;;;;
"AL";"270140";;;;"ALCANÇOU";;;;;
"AL";"270150";;;;"ALCANÇOU";;;;;
"AL";"270160";;;;"ALCANÇOU";;;;;
"AL";"270170";;;;"ALCANÇOU";;;;;
"AL";"270180";;;;"ALCANÇOU";;;;;
